Breed,Breed_Size,Sex,Age,Weight_lbs,SpayNeuter_Status,Daily_Activity_Level,Diet,Food_Brand,Daily_Walk_Distance_miles,Other_Pets_in_Household,Medications,Seizures,Hours_of_Sleep,Play_Time_hrs,Owner_Activity_Level,Annual_Vet_Visits,Average_Temperature_F,Synthetic,Healthy
Australian_Shepherd,Medium,Male,3.0,60.0,Neutered,,,Wellness,5.0,No,Yes,No,12.0,1.0,Active,1.0,30.0,Yes,Yes
Dachshund,,Female,4.0,57.0,Neutered,Very_Active,Home_cooked,Special,2.0,Yes,No,No,11.0,3.0,,0.0,47.0,Yes,
Chihuahua,Small,Female,12.0,67.0,Neutered,Active,Home_cooked,Special,1.0,Yes,No,No,10.0,1.0,Low,0.0,92.0,Yes,Yes
Siberian_Husky,Medium,Male,13.0,35.0,,Very_Active,,Special,4.0,No,No,No,12.0,,,1.0,75.0,Yes,Yes
Boxer,Medium,Male,13.0,35.0,,Very_Active,Wet_food,Purina,3.0,Yes,Yes,No,9.0,1.0,,0.0,64.0,Yes,No
Australian_Shepherd,Medium,Female,2.0,42.0,,Very_Active,Wet_food,Iams,0.0,Yes,No,No,11.0,3.0,,2.0,85.0,Yes,Yes
Labrador_Retriever,,Male,8.0,,,,Special_diet,Blue_Buffalo,2.0,No,No,No,8.0,1.0,Low,0.0,53.0,Yes,Yes
Boxer,Medium,Female,11.0,66.0,Neutered,,Home_cooked,Special,2.0,No,Yes,Yes,9.0,2.0,Low,2.0,85.0,,No
Australian_Shepherd,Medium,Male,12.0,28.0,Neutered,Moderate,Special_diet,Royal_Canin,2.0,Yes,Yes,No,11.0,2.0,Moderate,0.0,65.0,Yes,No
Bulldog,Medium,Female,11.0,49.0,Neutered,,Wet_food,Wellness,3.0,No,Yes,No,11.0,,,0.0,38.0,Yes,No
Rottweiler,Large,Male,2.0,64.0,Spayed,Very_Active,Hard_food,Blue_Buffalo,3.0,Yes,Yes,No,11.0,2.0,Active,1.0,87.0,Yes,Yes
Siberian_Husky,Medium,Female,,20.0,Neutered,Low,Hard_food,Blue_Buffalo,2.0,Yes,Yes,No,13.0,3.0,Active,1.0,78.0,Yes,No
Boxer,Medium,Male,5.0,33.0,Neutered,Low,Special_diet,Wellness,2.0,Yes,Yes,No,10.0,1.0,,1.0,37.0,Yes,
German_Shepherd,Large,Female,10.0,56.0,Spayed,,Hard_food,Royal_Canin,3.0,Yes,No,No,10.0,,Low,1.0,90.0,Yes,Yes
Golden_Retriever,Large,Male,8.0,67.0,Spayed,Low,Home_cooked,Special,2.0,Yes,No,No,10.0,0.0,Moderate,0.0,42.0,Yes,
Poodle,Small,Male,13.0,48.0,Spayed,Very_Active,Hard_food,Wellness,3.0,No,No,Yes,8.0,2.0,,4.0,54.0,Yes,Yes
Doberman,Large,Male,4.0,66.0,Spayed,Very_Active,Hard_food,Royal_Canin,2.0,No,No,No,11.0,1.0,,1.0,77.0,Yes,Yes
Boxer,Medium,Female,2.0,46.0,Spayed,Active,Special_diet,Nutro,2.0,No,Yes,No,8.0,2.0,Moderate,1.0,48.0,Yes,Yes
Bulldog,Medium,Female,11.0,87.0,,Low,Special_diet,Purina,3.0,No,No,No,13.0,2.0,Active,0.0,70.0,Yes,No
Great_Dane,Large,Female,11.0,44.0,,,Hard_food,Purina,4.0,Yes,No,No,10.0,1.0,Active,0.0,63.0,Yes,No
Poodle,Small,Female,7.0,46.0,Neutered,Very_Active,,Wellness,,Yes,No,No,11.0,0.0,Active,2.0,70.0,Yes,Yes
Chihuahua,Small,Male,3.0,26.0,,,Special_diet,Iams,3.0,No,Yes,No,12.0,1.0,Very_Active,1.0,82.0,Yes,Yes
German_Shepherd,Large,Female,11.0,38.0,Spayed,Very_Active,Wet_food,Purina,1.0,Yes,No,No,12.0,1.0,Moderate,1.0,100.0,Yes,Yes
Bulldog,Medium,Male,9.0,65.0,Neutered,,Special_diet,Wellness,3.0,No,No,No,12.0,1.0,Very_Active,,74.0,Yes,Yes
Great_Dane,Large,Male,6.0,65.0,,Low,Special_diet,Blue_Buffalo,1.0,Yes,Yes,No,8.0,,Moderate,1.0,74.0,Yes,Yes
Chihuahua,Small,Male,10.0,15.0,Neutered,Moderate,Wet_food,Wellness,3.0,No,Yes,No,8.0,3.0,Moderate,1.0,72.0,Yes,No
Beagle,Small,Male,11.0,52.0,Neutered,Active,Special_diet,Nutro,4.0,Yes,Yes,No,11.0,1.0,Active,0.0,75.0,Yes,Yes
Poodle,Small,Female,13.0,32.0,Neutered,Moderate,Wet_food,Pedigree,4.0,No,No,,13.0,2.0,Low,2.0,66.0,Yes,Yes
Siberian_Husky,Medium,Female,13.0,26.0,,Very_Active,Hard_food,Hills_Science,5.0,No,No,No,10.0,1.0,Very_Active,2.0,54.0,Yes,Yes
Rottweiler,Large,Male,2.0,66.0,Neutered,Active,Home_cooked,Special,1.0,Yes,Yes,No,14.0,1.0,Moderate,1.0,43.0,Yes,Yes
Poodle,Small,Male,13.0,,Neutered,Moderate,Hard_food,Iams,0.0,No,,No,10.0,2.0,Active,2.0,61.0,Yes,Yes
German_Shepherd,Large,Female,5.0,63.0,Neutered,,Special_diet,Nutro,4.0,No,No,No,10.0,2.0,Moderate,0.0,61.0,Yes,Yes
Rottweiler,Large,Female,13.0,43.0,,,Special_diet,Nutro,4.0,No,Yes,No,11.0,1.0,,3.0,33.0,Yes,No
Australian_Shepherd,Medium,Male,10.0,69.0,Spayed,Very_Active,Hard_food,Wellness,1.0,No,No,No,10.0,3.0,Very_Active,4.0,52.0,Yes,Yes
Australian_Shepherd,Medium,Male,8.0,56.0,,Low,Special_diet,Wellness,3.0,No,No,No,12.0,2.0,Low,2.0,82.0,Yes,Yes
Bulldog,Medium,Male,2.0,58.0,Neutered,Active,Wet_food,Wellness,2.0,No,Yes,No,9.0,1.0,Active,2.0,70.0,Yes,Yes
Siberian_Husky,Medium,Female,4.0,69.0,,,Hard_food,Purina,2.0,Yes,No,Yes,11.0,0.0,Active,1.0,40.0,Yes,No
Rottweiler,Large,Female,13.0,27.0,Neutered,Very_Active,Home_cooked,Special,0.0,Yes,Yes,No,13.0,1.0,Active,2.0,99.0,Yes,Yes
Golden_Retriever,Large,Female,9.0,65.0,Spayed,Moderate,Wet_food,Purina,3.0,Yes,Yes,No,9.0,2.0,Active,2.0,48.0,Yes,No
Dachshund,Small,Male,10.0,51.0,Neutered,Low,Wet_food,Wellness,3.0,Yes,No,No,12.0,,Very_Active,2.0,93.0,Yes,Yes
Australian_Shepherd,,Female,12.0,59.0,Neutered,,Home_cooked,Special,6.0,No,No,Yes,10.0,2.0,Low,1.0,68.0,Yes,Yes
Poodle,Small,Female,9.0,31.0,Neutered,Low,Special_diet,Pedigree,4.0,No,No,No,13.0,2.0,Moderate,0.0,55.0,Yes,Yes
Bulldog,Medium,,12.0,33.0,Spayed,Moderate,Wet_food,Wellness,3.0,Yes,Yes,No,12.0,3.0,Very_Active,0.0,,Yes,No
Great_Dane,Large,Male,2.0,69.0,,,Hard_food,Wellness,1.0,No,No,No,11.0,0.0,Moderate,1.0,67.0,Yes,Yes
Yorkshire_Terrier,Small,Female,2.0,45.0,Neutered,Low,Hard_food,Wellness,3.0,No,No,No,9.0,1.0,,0.0,74.0,Yes,Yes
Golden_Retriever,Large,Male,4.0,64.0,,Active,Wet_food,Royal_Canin,5.0,No,No,No,12.0,,Moderate,2.0,69.0,Yes,Yes
Chihuahua,Small,Female,13.0,10.0,,Low,Wet_food,Blue_Buffalo,0.0,Yes,No,No,13.0,1.0,Very_Active,0.0,54.0,Yes,No
Great_Dane,Large,Female,12.0,41.0,Spayed,Moderate,Hard_food,Blue_Buffalo,3.0,Yes,No,No,10.0,1.0,,0.0,56.0,Yes,No
Rottweiler,Large,,,48.0,Spayed,,Wet_food,Pedigree,4.0,No,No,No,12.0,0.0,,0.0,49.0,Yes,No
