@relation teste_weka

@attribute Breed {Australian_Shepherd,Chihuahua,Siberian_Husky,Boxer,Labrador_Retriever,Bulldog,Rottweiler,German_Shepherd,Poodle,Doberman,Great_Dane,Beagle,Golden_Retriever,Dachshund,Yorkshire_Terrier}
@attribute Breed_Size {Medium,Small,Large}
@attribute Sex {Male,Female}
@attribute Age numeric
@attribute Weight_lbs numeric
@attribute SpayNeuter_Status {Neutered,Spayed}
@attribute Daily_Activity_Level {Active,Very_Active,Moderate,Low}
@attribute Diet {Home_cooked,Wet_food,Special_diet,Hard_food}
@attribute Food_Brand {Wellness,Special,Purina,Iams,Blue_Buffalo,Royal_Canin,Nutro,Pedigree,Hills_Science}
@attribute Daily_Walk_Distance_miles numeric
@attribute Other_Pets_in_Household {No,Yes}
@attribute Medications {Yes,No}
@attribute Seizures {No,Yes}
@attribute Hours_of_Sleep numeric
@attribute Play_Time_hrs numeric
@attribute Owner_Activity_Level {Active,Low,Moderate,Very_Active}
@attribute Annual_Vet_Visits numeric
@attribute Average_Temperature_F numeric
@attribute Synthetic {Yes}
@attribute Healthy {Yes,No}

@data
Australian_Shepherd,Medium,Male,3,60,Neutered,?,?,Wellness,5,No,Yes,No,12,1,Active,1,30,Yes,Yes
Chihuahua,Small,Female,12,67,Neutered,Active,Home_cooked,Special,1,Yes,No,No,10,1,Low,0,92,Yes,Yes
Siberian_Husky,Medium,Male,13,35,?,Very_Active,?,Special,4,No,No,No,12,?,?,1,75,Yes,Yes
Boxer,Medium,Male,13,35,?,Very_Active,Wet_food,Purina,3,Yes,Yes,No,9,1,?,0,64,Yes,No
Australian_Shepherd,Medium,Female,2,42,?,Very_Active,Wet_food,Iams,0,Yes,No,No,11,3,?,2,85,Yes,Yes
Labrador_Retriever,?,Male,8,?,?,?,Special_diet,Blue_Buffalo,2,No,No,No,8,1,Low,0,53,Yes,Yes
Boxer,Medium,Female,11,66,Neutered,?,Home_cooked,Special,2,No,Yes,Yes,9,2,Low,2,85,?,No
Australian_Shepherd,Medium,Male,12,28,Neutered,Moderate,Special_diet,Royal_Canin,2,Yes,Yes,No,11,2,Moderate,0,65,Yes,No
Bulldog,Medium,Female,11,49,Neutered,?,Wet_food,Wellness,3,No,Yes,No,11,?,?,0,38,Yes,No
Rottweiler,Large,Male,2,64,Spayed,Very_Active,Hard_food,Blue_Buffalo,3,Yes,Yes,No,11,2,Active,1,87,Yes,Yes
Siberian_Husky,Medium,Female,?,20,Neutered,Low,Hard_food,Blue_Buffalo,2,Yes,Yes,No,13,3,Active,1,78,Yes,No
German_Shepherd,Large,Female,10,56,Spayed,?,Hard_food,Royal_Canin,3,Yes,No,No,10,?,Low,1,90,Yes,Yes
Poodle,Small,Male,13,48,Spayed,Very_Active,Hard_food,Wellness,3,No,No,Yes,8,2,?,4,54,Yes,Yes
Doberman,Large,Male,4,66,Spayed,Very_Active,Hard_food,Royal_Canin,2,No,No,No,11,1,?,1,77,Yes,Yes
Boxer,Medium,Female,2,46,Spayed,Active,Special_diet,Nutro,2,No,Yes,No,8,2,Moderate,1,48,Yes,Yes
Bulldog,Medium,Female,11,87,?,Low,Special_diet,Purina,3,No,No,No,13,2,Active,0,70,Yes,No
Great_Dane,Large,Female,11,44,?,?,Hard_food,Purina,4,Yes,No,No,10,1,Active,0,63,Yes,No
Poodle,Small,Female,7,46,Neutered,Very_Active,?,Wellness,?,Yes,No,No,11,0,Active,2,70,Yes,Yes
Chihuahua,Small,Male,3,26,?,?,Special_diet,Iams,3,No,Yes,No,12,1,Very_Active,1,82,Yes,Yes
German_Shepherd,Large,Female,11,38,Spayed,Very_Active,Wet_food,Purina,1,Yes,No,No,12,1,Moderate,1,100,Yes,Yes
Bulldog,Medium,Male,9,65,Neutered,?,Special_diet,Wellness,3,No,No,No,12,1,Very_Active,?,74,Yes,Yes
Great_Dane,Large,Male,6,65,?,Low,Special_diet,Blue_Buffalo,1,Yes,Yes,No,8,?,Moderate,1,74,Yes,Yes
Chihuahua,Small,Male,10,15,Neutered,Moderate,Wet_food,Wellness,3,No,Yes,No,8,3,Moderate,1,72,Yes,No
Beagle,Small,Male,11,52,Neutered,Active,Special_diet,Nutro,4,Yes,Yes,No,11,1,Active,0,75,Yes,Yes
Poodle,Small,Female,13,32,Neutered,Moderate,Wet_food,Pedigree,4,No,No,?,13,2,Low,2,66,Yes,Yes
Siberian_Husky,Medium,Female,13,26,?,Very_Active,Hard_food,Hills_Science,5,No,No,No,10,1,Very_Active,2,54,Yes,Yes
Rottweiler,Large,Male,2,66,Neutered,Active,Home_cooked,Special,1,Yes,Yes,No,14,1,Moderate,1,43,Yes,Yes
Poodle,Small,Male,13,?,Neutered,Moderate,Hard_food,Iams,0,No,?,No,10,2,Active,2,61,Yes,Yes
German_Shepherd,Large,Female,5,63,Neutered,?,Special_diet,Nutro,4,No,No,No,10,2,Moderate,0,61,Yes,Yes
Rottweiler,Large,Female,13,43,?,?,Special_diet,Nutro,4,No,Yes,No,11,1,?,3,33,Yes,No
Australian_Shepherd,Medium,Male,10,69,Spayed,Very_Active,Hard_food,Wellness,1,No,No,No,10,3,Very_Active,4,52,Yes,Yes
Australian_Shepherd,Medium,Male,8,56,?,Low,Special_diet,Wellness,3,No,No,No,12,2,Low,2,82,Yes,Yes
Bulldog,Medium,Male,2,58,Neutered,Active,Wet_food,Wellness,2,No,Yes,No,9,1,Active,2,70,Yes,Yes
Siberian_Husky,Medium,Female,4,69,?,?,Hard_food,Purina,2,Yes,No,Yes,11,0,Active,1,40,Yes,No
Rottweiler,Large,Female,13,27,Neutered,Very_Active,Home_cooked,Special,0,Yes,Yes,No,13,1,Active,2,99,Yes,Yes
Golden_Retriever,Large,Female,9,65,Spayed,Moderate,Wet_food,Purina,3,Yes,Yes,No,9,2,Active,2,48,Yes,No
Dachshund,Small,Male,10,51,Neutered,Low,Wet_food,Wellness,3,Yes,No,No,12,?,Very_Active,2,93,Yes,Yes
Australian_Shepherd,?,Female,12,59,Neutered,?,Home_cooked,Special,6,No,No,Yes,10,2,Low,1,68,Yes,Yes
Poodle,Small,Female,9,31,Neutered,Low,Special_diet,Pedigree,4,No,No,No,13,2,Moderate,0,55,Yes,Yes
Bulldog,Medium,?,12,33,Spayed,Moderate,Wet_food,Wellness,3,Yes,Yes,No,12,3,Very_Active,0,?,Yes,No
Great_Dane,Large,Male,2,69,?,?,Hard_food,Wellness,1,No,No,No,11,0,Moderate,1,67,Yes,Yes
Yorkshire_Terrier,Small,Female,2,45,Neutered,Low,Hard_food,Wellness,3,No,No,No,9,1,?,0,74,Yes,Yes
Golden_Retriever,Large,Male,4,64,?,Active,Wet_food,Royal_Canin,5,No,No,No,12,?,Moderate,2,69,Yes,Yes
Chihuahua,Small,Female,13,10,?,Low,Wet_food,Blue_Buffalo,0,Yes,No,No,13,1,Very_Active,0,54,Yes,No
Great_Dane,Large,Female,12,41,Spayed,Moderate,Hard_food,Blue_Buffalo,3,Yes,No,No,10,1,?,0,56,Yes,No
Rottweiler,Large,?,?,48,Spayed,?,Wet_food,Pedigree,4,No,No,No,12,0,?,0,49,Yes,No
Poodle,Small,Female,9,61,?,Active,Special_diet,Nutro,1,No,No,No,10,2,?,0,47,Yes,Yes
Siberian_Husky,Medium,Female,8,49,Neutered,Active,Wet_food,Hills_Science,3,No,No,No,13,2,Low,1,80,Yes,Yes
Rottweiler,Large,Female,11,59,Spayed,Moderate,Hard_food,Iams,1,Yes,Yes,No,10,1,Active,0,40,Yes,No
German_Shepherd,Large,Female,5,46,?,Moderate,Wet_food,Hills_Science,3,No,Yes,No,10,3,Active,3,75,Yes,No
Poodle,Small,Female,7,34,?,?,Special_diet,Wellness,1,Yes,Yes,No,12,1,?,1,73,Yes,Yes
Boxer,Medium,Female,12,45,Spayed,?,Wet_food,Nutro,4,No,Yes,Yes,12,3,Active,1,74,Yes,No
Labrador_Retriever,Large,Female,8,60,Spayed,?,Wet_food,Iams,3,No,Yes,No,11,2,?,1,43,Yes,Yes
German_Shepherd,Large,Female,2,77,Spayed,Moderate,Hard_food,Iams,2,No,No,?,11,1,?,4,45,Yes,Yes
Labrador_Retriever,Large,Female,6,62,Spayed,Low,Hard_food,Wellness,2,No,No,No,10,1,Moderate,2,64,Yes,Yes
Poodle,Small,Male,7,66,Neutered,?,Wet_food,Hills_Science,2,Yes,No,No,10,?,?,3,50,Yes,Yes
Doberman,Large,Male,8,42,Neutered,Low,Special_diet,Purina,3,Yes,No,No,12,2,Moderate,3,64,Yes,Yes
Bulldog,Medium,Male,12,62,Neutered,Moderate,Wet_food,Iams,0,Yes,No,Yes,9,1,Very_Active,1,68,Yes,No
Golden_Retriever,Large,Male,1,75,Spayed,Active,Wet_food,Blue_Buffalo,2,No,Yes,No,12,0,?,0,44,Yes,No
Labrador_Retriever,Large,Female,4,40,Neutered,Very_Active,Hard_food,Purina,3,No,No,No,13,0,Active,2,57,?,Yes
Australian_Shepherd,?,Male,8,63,?,?,Hard_food,Blue_Buffalo,3,Yes,No,No,10,3,Very_Active,0,54,Yes,No
Beagle,Small,Female,13,41,?,Active,Wet_food,Purina,4,No,No,No,12,1,Active,0,69,Yes,No
Yorkshire_Terrier,Small,Male,11,63,Spayed,Low,?,Iams,3,No,No,No,12,1,?,0,55,Yes,Yes
Boxer,Medium,Male,5,38,Neutered,Active,Hard_food,Royal_Canin,2,Yes,No,No,12,3,Active,3,35,Yes,Yes
Labrador_Retriever,Large,Male,10,52,?,Low,Home_cooked,Special,2,No,Yes,Yes,10,2,Low,3,50,Yes,No
Golden_Retriever,Large,Female,5,71,Spayed,Moderate,Home_cooked,Special,2,Yes,No,No,10,2,Low,1,?,Yes,Yes
Beagle,Small,Male,9,30,Neutered,Moderate,Hard_food,Purina,2,Yes,Yes,?,11,0,Active,4,59,Yes,No
Golden_Retriever,Large,Male,1,35,?,?,Hard_food,Royal_Canin,6,Yes,Yes,No,14,1,Active,1,64,Yes,No
Boxer,Medium,?,10,41,?,Very_Active,Special_diet,Royal_Canin,5,Yes,Yes,No,11,3,Active,2,78,Yes,Yes
Doberman,Large,Female,9,51,?,Moderate,Special_diet,Blue_Buffalo,2,No,Yes,No,9,2,Active,1,75,Yes,No
Dachshund,Small,Female,13,62,Neutered,Low,?,Wellness,4,Yes,Yes,No,12,2,?,0,68,Yes,No
Dachshund,Small,Female,10,55,Spayed,Moderate,Home_cooked,Special,1,Yes,Yes,No,12,2,?,4,53,Yes,Yes
Golden_Retriever,Large,Female,9,?,Neutered,?,Home_cooked,Special,2,?,No,No,11,1,?,1,79,Yes,Yes
Australian_Shepherd,Medium,Female,13,84,Spayed,Low,Home_cooked,Special,2,No,Yes,No,13,1,Very_Active,0,78,Yes,No
Yorkshire_Terrier,?,Female,13,14,Neutered,?,Special_diet,Wellness,2,Yes,Yes,No,12,1,Moderate,3,?,Yes,No
Beagle,Small,Female,6,56,Spayed,Moderate,Wet_food,?,?,No,No,No,12,2,?,0,86,Yes,Yes
Yorkshire_Terrier,Small,?,2,29,Spayed,?,Hard_food,Nutro,1,No,Yes,No,10,3,Very_Active,3,66,Yes,Yes
Bulldog,Medium,Male,11,34,Spayed,Moderate,Home_cooked,Special,2,?,No,Yes,9,3,Low,3,66,Yes,Yes
Boxer,Medium,Male,9,57,?,Very_Active,Home_cooked,Special,3,No,Yes,No,12,1,Moderate,1,53,Yes,Yes
Rottweiler,Large,Male,11,71,Neutered,Very_Active,Special_diet,Iams,5,Yes,No,No,14,1,Moderate,1,75,Yes,Yes
Yorkshire_Terrier,Small,Male,12,73,Neutered,Very_Active,Home_cooked,Special,2,Yes,No,No,10,2,Low,0,84,Yes,Yes
Great_Dane,?,Female,?,57,Spayed,Low,Special_diet,Nutro,3,Yes,Yes,Yes,10,3,?,1,42,Yes,No
Dachshund,?,Male,7,91,Spayed,Very_Active,Home_cooked,Special,2,Yes,Yes,No,11,0,Very_Active,1,53,Yes,Yes
Poodle,Small,Male,1,30,?,Active,Wet_food,Blue_Buffalo,3,Yes,No,No,11,2,Moderate,2,78,Yes,Yes
Dachshund,Small,Male,9,22,Neutered,?,Home_cooked,Special,3,Yes,Yes,No,9,1,Low,1,98,Yes,No
Australian_Shepherd,Medium,Female,12,43,?,Very_Active,Special_diet,Royal_Canin,2,No,Yes,No,10,2,Active,1,92,Yes,Yes
Poodle,Small,Male,1,48,Spayed,Low,Wet_food,Hills_Science,5,Yes,No,No,12,0,Active,0,66,Yes,No
Golden_Retriever,Large,Male,2,43,?,Low,Wet_food,Pedigree,2,Yes,Yes,No,14,0,Moderate,1,58,Yes,Yes
Australian_Shepherd,Medium,Male,3,76,Neutered,?,Wet_food,Purina,3,Yes,No,No,8,3,Active,2,76,Yes,Yes
Australian_Shepherd,Medium,Female,?,53,Neutered,Moderate,Special_diet,Wellness,5,Yes,No,No,14,0,Active,3,58,Yes,Yes
Rottweiler,Large,Female,3,32,Neutered,?,Wet_food,Royal_Canin,4,No,No,No,10,1,Very_Active,0,77,Yes,Yes
German_Shepherd,Large,Female,10,37,Neutered,Very_Active,Wet_food,Hills_Science,3,No,No,No,11,2,Moderate,2,79,Yes,Yes
Australian_Shepherd,Medium,Female,4,56,Neutered,Active,Special_diet,Iams,3,Yes,No,No,9,0,?,1,36,?,Yes
Chihuahua,Small,Female,9,76,Neutered,Low,Special_diet,Purina,0,Yes,Yes,No,13,3,Low,1,31,Yes,Yes
Siberian_Husky,Medium,Male,3,33,Spayed,?,Special_diet,Blue_Buffalo,2,Yes,Yes,No,10,2,Low,1,65,Yes,Yes
Poodle,Small,Male,5,33,Spayed,Low,Wet_food,Purina,4,No,Yes,No,10,1,?,1,37,Yes,Yes
Boxer,Medium,Male,5,38,?,Moderate,Home_cooked,Special,4,No,Yes,No,12,2,?,2,50,Yes,Yes
Yorkshire_Terrier,Small,Male,12,40,?,Low,Special_diet,Purina,2,Yes,No,No,11,4,Active,1,78,Yes,Yes
Doberman,Large,Male,10,54,?,Very_Active,Special_diet,?,3,Yes,Yes,No,?,3,?,1,39,Yes,Yes
Golden_Retriever,Large,Female,2,65,Neutered,Low,Special_diet,Blue_Buffalo,1,No,Yes,Yes,9,0,Very_Active,0,50,Yes,No
?,Medium,Male,7,?,?,Active,Special_diet,Iams,5,No,No,No,11,2,Low,0,53,Yes,Yes
Labrador_Retriever,Large,Male,2,57,Neutered,Active,Home_cooked,Special,0,No,Yes,?,10,1,Low,1,70,Yes,Yes
Bulldog,Medium,Female,8,38,Neutered,Moderate,Hard_food,Pedigree,2,Yes,No,No,9,1,?,2,77,Yes,Yes
Siberian_Husky,Medium,Male,7,39,Spayed,Very_Active,Special_diet,Purina,3,No,Yes,No,12,1,Very_Active,2,60,Yes,Yes
Chihuahua,Small,Female,8,45,Neutered,Moderate,Wet_food,Royal_Canin,2,?,No,No,12,2,Very_Active,0,94,Yes,Yes
Siberian_Husky,Medium,Male,1,61,Neutered,Active,Wet_food,Wellness,1,No,No,No,12,2,Moderate,1,69,Yes,Yes
Australian_Shepherd,Medium,Male,5,43,Neutered,?,Special_diet,Purina,5,No,Yes,No,12,0,Active,4,82,Yes,Yes
Yorkshire_Terrier,Small,Female,8,92,?,Moderate,Special_diet,Royal_Canin,2,Yes,Yes,No,11,3,?,1,55,Yes,No
Doberman,Large,Female,9,?,Spayed,?,Hard_food,?,2,Yes,No,No,13,0,Very_Active,1,58,Yes,Yes
Bulldog,Medium,Female,9,25,Spayed,Very_Active,Home_cooked,Special,3,No,Yes,No,13,1,Active,2,100,Yes,Yes
Great_Dane,Large,Female,11,60,Spayed,Active,Home_cooked,Special,1,No,No,No,12,1,Very_Active,2,75,Yes,Yes
Poodle,Small,Male,8,66,Neutered,Active,Home_cooked,Special,1,No,Yes,No,13,2,?,0,72,Yes,Yes
Doberman,Large,Male,12,34,Neutered,Low,Home_cooked,Special,3,No,Yes,No,13,2,?,0,51,Yes,No
German_Shepherd,Large,Male,?,56,?,Low,Hard_food,Royal_Canin,3,Yes,?,No,9,1,?,0,76,Yes,No
Beagle,Small,Male,6,63,Spayed,Low,Home_cooked,Special,2,Yes,No,Yes,9,2,Low,1,100,?,Yes
Doberman,?,Male,7,39,Neutered,Low,Home_cooked,Special,2,No,No,No,10,2,Moderate,4,72,Yes,Yes
Labrador_Retriever,Large,Female,13,10,Neutered,?,Home_cooked,Special,2,Yes,Yes,?,10,2,Low,1,88,Yes,Yes
Yorkshire_Terrier,Small,Female,1,41,?,Very_Active,Special_diet,Hills_Science,3,No,Yes,No,11,0,Low,?,66,Yes,Yes
Beagle,Small,Male,?,29,Neutered,Moderate,?,Blue_Buffalo,2,No,No,No,14,1,Very_Active,0,75,Yes,Yes
Yorkshire_Terrier,Small,Female,10,51,Spayed,?,Special_diet,Royal_Canin,4,Yes,Yes,No,13,3,Low,3,66,Yes,Yes
Golden_Retriever,Large,Male,9,60,Spayed,Moderate,Special_diet,Nutro,3,No,Yes,Yes,10,1,Low,0,44,Yes,No
Siberian_Husky,Medium,?,8,58,?,Active,Home_cooked,Special,2,No,Yes,No,?,1,?,2,54,Yes,Yes
Boxer,Medium,Male,4,63,Neutered,Moderate,Hard_food,Wellness,4,No,Yes,No,12,3,Very_Active,2,53,Yes,Yes
Labrador_Retriever,Large,Male,10,79,?,Active,Hard_food,Pedigree,3,No,Yes,No,9,1,?,4,75,Yes,No
Siberian_Husky,Medium,Male,4,36,Neutered,Low,Hard_food,Hills_Science,3,No,Yes,No,12,0,?,1,56,Yes,Yes
Labrador_Retriever,Large,Male,4,20,Spayed,Active,Hard_food,Purina,3,No,Yes,No,9,2,Moderate,1,67,Yes,Yes
Golden_Retriever,Large,Male,?,26,?,?,Special_diet,Pedigree,3,No,Yes,No,8,2,Low,0,75,Yes,No
Yorkshire_Terrier,Small,Female,9,50,Neutered,Moderate,Special_diet,Purina,2,Yes,No,No,11,?,Active,3,59,Yes,Yes
?,Large,Female,6,50,Neutered,Moderate,Special_diet,Nutro,1,Yes,No,No,9,1,Very_Active,0,55,Yes,Yes
Siberian_Husky,Medium,Male,4,27,?,Moderate,Home_cooked,Special,1,Yes,No,No,10,2,?,0,42,Yes,Yes
Chihuahua,Small,Male,4,55,Spayed,Active,Wet_food,Purina,0,No,No,No,12,1,Moderate,0,67,Yes,Yes
Poodle,Small,Female,3,51,Neutered,Very_Active,?,Nutro,2,Yes,No,No,12,1,Moderate,1,60,Yes,Yes
Labrador_Retriever,Large,Male,4,43,Spayed,Active,Hard_food,Purina,2,No,No,No,13,1,?,1,63,Yes,Yes
German_Shepherd,Large,Female,10,50,?,Active,Special_diet,Pedigree,4,No,No,?,9,3,Low,0,58,Yes,Yes
Beagle,Small,Male,4,62,Neutered,?,Hard_food,Blue_Buffalo,3,No,No,No,?,2,Moderate,1,68,Yes,Yes
Yorkshire_Terrier,Small,Male,?,62,Spayed,?,Wet_food,Pedigree,1,No,Yes,No,12,1,?,1,46,Yes,No
Chihuahua,Small,Male,11,37,?,Active,Special_diet,Hills_Science,3,No,No,No,10,2,Active,0,74,Yes,Yes
Golden_Retriever,Large,Female,10,57,?,Low,Home_cooked,Special,6,Yes,Yes,No,10,1,Moderate,0,51,Yes,No
Siberian_Husky,Medium,Male,8,41,Neutered,Moderate,Special_diet,Hills_Science,2,No,Yes,No,12,2,Active,0,76,Yes,Yes
Dachshund,Small,Male,2,33,?,?,?,Purina,0,Yes,No,No,13,0,?,1,57,Yes,Yes
Labrador_Retriever,Large,Female,4,71,Spayed,?,Special_diet,Hills_Science,6,Yes,Yes,No,10,0,Low,1,48,Yes,Yes
Doberman,Large,Female,3,47,Neutered,Low,Wet_food,Hills_Science,3,Yes,?,No,14,0,Moderate,2,85,Yes,Yes
Yorkshire_Terrier,Small,Male,3,44,Neutered,?,Home_cooked,Special,1,Yes,Yes,No,10,0,Very_Active,3,51,Yes,Yes
Rottweiler,Large,Male,10,61,Neutered,Active,Wet_food,Royal_Canin,0,Yes,Yes,No,10,0,Active,2,91,Yes,Yes
Chihuahua,Small,?,11,34,Spayed,?,Hard_food,Wellness,1,No,Yes,No,10,1,Active,0,53,Yes,No
Great_Dane,Large,Male,3,78,Neutered,Low,Wet_food,Blue_Buffalo,5,No,No,No,9,2,Low,2,68,Yes,Yes
?,Large,Female,9,48,?,?,?,Royal_Canin,4,No,Yes,?,10,3,Very_Active,1,84,Yes,No
Yorkshire_Terrier,Small,Female,4,45,Neutered,?,?,Special,7,No,No,Yes,8,0,Low,2,53,Yes,Yes
Doberman,Large,Male,9,12,?,Active,Home_cooked,Special,1,Yes,No,No,11,2,Very_Active,3,87,Yes,Yes
Siberian_Husky,Medium,Male,4,62,Neutered,Very_Active,Hard_food,Iams,3,No,No,No,13,2,Low,2,66,Yes,Yes
Chihuahua,Small,Male,12,74,Neutered,Moderate,Special_diet,Nutro,5,Yes,Yes,No,12,2,Active,0,78,Yes,No
Labrador_Retriever,Large,Female,?,40,Spayed,Active,Hard_food,Royal_Canin,1,No,No,No,10,1,?,4,49,Yes,Yes
Beagle,Small,Male,11,62,Spayed,Low,Special_diet,Pedigree,1,Yes,No,No,11,3,Low,3,83,Yes,Yes
Australian_Shepherd,Medium,Female,7,19,?,Low,Wet_food,Nutro,5,Yes,Yes,No,14,2,?,?,43,Yes,No
Yorkshire_Terrier,Small,Male,8,50,Spayed,?,Special_diet,Iams,2,Yes,Yes,No,11,2,Low,3,64,Yes,Yes
Siberian_Husky,Medium,Female,7,84,Neutered,Active,Special_diet,Wellness,0,Yes,No,No,12,1,Active,3,60,Yes,Yes
Golden_Retriever,Large,Female,10,59,Spayed,Low,Special_diet,Hills_Science,1,No,No,No,12,1,?,?,45,Yes,Yes
Dachshund,Small,Female,4,23,Spayed,Very_Active,Special_diet,Nutro,3,Yes,Yes,No,13,3,Low,2,55,Yes,Yes
Siberian_Husky,Medium,Male,2,66,?,Active,Hard_food,Iams,2,Yes,No,No,10,3,?,0,69,Yes,Yes
Bulldog,Medium,Female,9,65,Neutered,Moderate,Wet_food,Hills_Science,5,Yes,No,No,14,0,Low,0,58,Yes,No
Poodle,Small,?,5,33,Spayed,Very_Active,?,Royal_Canin,2,No,No,No,12,2,Very_Active,2,64,?,Yes
Labrador_Retriever,Large,Female,13,58,Spayed,Moderate,Home_cooked,Special,2,No,No,No,12,?,Low,0,79,Yes,Yes
German_Shepherd,Large,Female,12,47,?,Low,?,Special,3,Yes,No,No,10,0,?,2,48,?,Yes
