ID,Breed,Breed_Size,Sex,Age,Weight_lbs,SpayNeuter_Status,Daily_Activity_Level,Diet,Food_Brand,Daily_Walk_Distance_miles,Other_Pets_in_Household,Medications,Seizures,Hours_of_Sleep,Play_Time_hrs,Owner_Activity_Level,Annual_Vet_Visits,Average_Temperature_F,Synthetic,Healthy
1,Australian_Shepherd,Medium,Male,3.0,60.0,Neutered,,,Wellness,5.0,No,Yes,No,12.0,1.0,Active,1.0,30.0,Yes,Yes
2,Dachshund,,Female,4.0,57.0,Neutered,Very_Active,Home_cooked,Special,2.0,Yes,No,No,11.0,3.0,,0.0,47.0,Yes,
3,Chihuahua,Small,Female,12.0,67.0,Neutered,Active,Home_cooked,Special,1.0,Yes,No,No,10.0,1.0,Low,0.0,92.0,Yes,Yes
4,Siberian_Husky,Medium,Male,13.0,35.0,,Very_Active,,Special,4.0,No,No,No,12.0,,,1.0,75.0,Yes,Yes
5,Boxer,Medium,Male,13.0,35.0,,Very_Active,Wet_food,Purina,3.0,Yes,Yes,No,9.0,1.0,,0.0,64.0,Yes,No
6,Australian_Shepherd,Medium,Female,2.0,42.0,,Very_Active,Wet_food,Iams,0.0,Yes,No,No,11.0,3.0,,2.0,85.0,Yes,Yes
7,Labrador_Retriever,,Male,8.0,,,,Special_diet,Blue_Buffalo,2.0,No,No,No,8.0,1.0,Low,0.0,53.0,Yes,Yes
8,Boxer,Medium,Female,11.0,66.0,Neutered,,Home_cooked,Special,2.0,No,Yes,Yes,9.0,2.0,Low,2.0,85.0,,No
9,Australian_Shepherd,Medium,Male,12.0,28.0,Neutered,Moderate,Special_diet,Royal_Canin,2.0,Yes,Yes,No,11.0,2.0,Moderate,0.0,65.0,Yes,No
10,Bulldog,Medium,Female,11.0,49.0,Neutered,,Wet_food,Wellness,3.0,No,Yes,No,11.0,,,0.0,38.0,Yes,No
11,Rottweiler,Large,Male,2.0,64.0,Spayed,Very_Active,Hard_food,Blue_Buffalo,3.0,Yes,Yes,No,11.0,2.0,Active,1.0,87.0,Yes,Yes
12,Siberian_Husky,Medium,Female,,20.0,Neutered,Low,Hard_food,Blue_Buffalo,2.0,Yes,Yes,No,13.0,3.0,Active,1.0,78.0,Yes,No
13,Boxer,Medium,Male,5.0,33.0,Neutered,Low,Special_diet,Wellness,2.0,Yes,Yes,No,10.0,1.0,,1.0,37.0,Yes,
14,German_Shepherd,Large,Female,10.0,56.0,Spayed,,Hard_food,Royal_Canin,3.0,Yes,No,No,10.0,,Low,1.0,90.0,Yes,Yes
15,Golden_Retriever,Large,Male,8.0,67.0,Spayed,Low,Home_cooked,Special,2.0,Yes,No,No,10.0,0.0,Moderate,0.0,42.0,Yes,
16,Poodle,Small,Male,13.0,48.0,Spayed,Very_Active,Hard_food,Wellness,3.0,No,No,Yes,8.0,2.0,,4.0,54.0,Yes,Yes
17,Doberman,Large,Male,4.0,66.0,Spayed,Very_Active,Hard_food,Royal_Canin,2.0,No,No,No,11.0,1.0,,1.0,77.0,Yes,Yes
18,Boxer,Medium,Female,2.0,46.0,Spayed,Active,Special_diet,Nutro,2.0,No,Yes,No,8.0,2.0,Moderate,1.0,48.0,Yes,Yes
19,Bulldog,Medium,Female,11.0,87.0,,Low,Special_diet,Purina,3.0,No,No,No,13.0,2.0,Active,0.0,70.0,Yes,No
20,Great_Dane,Large,Female,11.0,44.0,,,Hard_food,Purina,4.0,Yes,No,No,10.0,1.0,Active,0.0,63.0,Yes,No
21,Poodle,Small,Female,7.0,46.0,Neutered,Very_Active,,Wellness,,Yes,No,No,11.0,0.0,Active,2.0,70.0,Yes,Yes
22,Chihuahua,Small,Male,3.0,26.0,,,Special_diet,Iams,3.0,No,Yes,No,12.0,1.0,Very_Active,1.0,82.0,Yes,Yes
23,German_Shepherd,Large,Female,11.0,38.0,Spayed,Very_Active,Wet_food,Purina,1.0,Yes,No,No,12.0,1.0,Moderate,1.0,100.0,Yes,Yes
24,Bulldog,Medium,Male,9.0,65.0,Neutered,,Special_diet,Wellness,3.0,No,No,No,12.0,1.0,Very_Active,,74.0,Yes,Yes
25,Great_Dane,Large,Male,6.0,65.0,,Low,Special_diet,Blue_Buffalo,1.0,Yes,Yes,No,8.0,,Moderate,1.0,74.0,Yes,Yes
26,Chihuahua,Small,Male,10.0,15.0,Neutered,Moderate,Wet_food,Wellness,3.0,No,Yes,No,8.0,3.0,Moderate,1.0,72.0,Yes,No
27,Beagle,Small,Male,11.0,52.0,Neutered,Active,Special_diet,Nutro,4.0,Yes,Yes,No,11.0,1.0,Active,0.0,75.0,Yes,Yes
28,Poodle,Small,Female,13.0,32.0,Neutered,Moderate,Wet_food,Pedigree,4.0,No,No,,13.0,2.0,Low,2.0,66.0,Yes,Yes
29,Siberian_Husky,Medium,Female,13.0,26.0,,Very_Active,Hard_food,Hills_Science,5.0,No,No,No,10.0,1.0,Very_Active,2.0,54.0,Yes,Yes
30,Rottweiler,Large,Male,2.0,66.0,Neutered,Active,Home_cooked,Special,1.0,Yes,Yes,No,14.0,1.0,Moderate,1.0,43.0,Yes,Yes
31,Poodle,Small,Male,13.0,,Neutered,Moderate,Hard_food,Iams,0.0,No,,No,10.0,2.0,Active,2.0,61.0,Yes,Yes
32,German_Shepherd,Large,Female,5.0,63.0,Neutered,,Special_diet,Nutro,4.0,No,No,No,10.0,2.0,Moderate,0.0,61.0,Yes,Yes
33,Rottweiler,Large,Female,13.0,43.0,,,Special_diet,Nutro,4.0,No,Yes,No,11.0,1.0,,3.0,33.0,Yes,No
34,Australian_Shepherd,Medium,Male,10.0,69.0,Spayed,Very_Active,Hard_food,Wellness,1.0,No,No,No,10.0,3.0,Very_Active,4.0,52.0,Yes,Yes
35,Australian_Shepherd,Medium,Male,8.0,56.0,,Low,Special_diet,Wellness,3.0,No,No,No,12.0,2.0,Low,2.0,82.0,Yes,Yes
36,Bulldog,Medium,Male,2.0,58.0,Neutered,Active,Wet_food,Wellness,2.0,No,Yes,No,9.0,1.0,Active,2.0,70.0,Yes,Yes
37,Siberian_Husky,Medium,Female,4.0,69.0,,,Hard_food,Purina,2.0,Yes,No,Yes,11.0,0.0,Active,1.0,40.0,Yes,No
38,Rottweiler,Large,Female,13.0,27.0,Neutered,Very_Active,Home_cooked,Special,0.0,Yes,Yes,No,13.0,1.0,Active,2.0,99.0,Yes,Yes
39,Golden_Retriever,Large,Female,9.0,65.0,Spayed,Moderate,Wet_food,Purina,3.0,Yes,Yes,No,9.0,2.0,Active,2.0,48.0,Yes,No
40,Dachshund,Small,Male,10.0,51.0,Neutered,Low,Wet_food,Wellness,3.0,Yes,No,No,12.0,,Very_Active,2.0,93.0,Yes,Yes
41,Australian_Shepherd,,Female,12.0,59.0,Neutered,,Home_cooked,Special,6.0,No,No,Yes,10.0,2.0,Low,1.0,68.0,Yes,Yes
42,Poodle,Small,Female,9.0,31.0,Neutered,Low,Special_diet,Pedigree,4.0,No,No,No,13.0,2.0,Moderate,0.0,55.0,Yes,Yes
43,Bulldog,Medium,,12.0,33.0,Spayed,Moderate,Wet_food,Wellness,3.0,Yes,Yes,No,12.0,3.0,Very_Active,0.0,,Yes,No
44,Great_Dane,Large,Male,2.0,69.0,,,Hard_food,Wellness,1.0,No,No,No,11.0,0.0,Moderate,1.0,67.0,Yes,Yes
45,Yorkshire_Terrier,Small,Female,2.0,45.0,Neutered,Low,Hard_food,Wellness,3.0,No,No,No,9.0,1.0,,0.0,74.0,Yes,Yes
46,Golden_Retriever,Large,Male,4.0,64.0,,Active,Wet_food,Royal_Canin,5.0,No,No,No,12.0,,Moderate,2.0,69.0,Yes,Yes
47,Chihuahua,Small,Female,13.0,10.0,,Low,Wet_food,Blue_Buffalo,0.0,Yes,No,No,13.0,1.0,Very_Active,0.0,54.0,Yes,No
48,Great_Dane,Large,Female,12.0,41.0,Spayed,Moderate,Hard_food,Blue_Buffalo,3.0,Yes,No,No,10.0,1.0,,0.0,56.0,Yes,No
49,Rottweiler,Large,,,48.0,Spayed,,Wet_food,Pedigree,4.0,No,No,No,12.0,0.0,,0.0,49.0,Yes,No
50,Poodle,Small,Female,9.0,61.0,,Active,Special_diet,Nutro,1.0,No,No,No,10.0,2.0,,0.0,47.0,Yes,Yes
51,Siberian_Husky,Medium,Female,8.0,49.0,Neutered,Active,Wet_food,Hills_Science,3.0,No,No,No,13.0,2.0,Low,1.0,80.0,Yes,Yes
52,Rottweiler,Large,Female,11.0,59.0,Spayed,Moderate,Hard_food,Iams,1.0,Yes,Yes,No,10.0,1.0,Active,0.0,40.0,Yes,No
53,German_Shepherd,Large,Female,5.0,46.0,,Moderate,Wet_food,Hills_Science,3.0,No,Yes,No,10.0,3.0,Active,3.0,75.0,Yes,No
54,Poodle,Small,Female,7.0,34.0,,,Special_diet,Wellness,1.0,Yes,Yes,No,12.0,1.0,,1.0,73.0,Yes,Yes
55,Boxer,Medium,Female,12.0,45.0,Spayed,,Wet_food,Nutro,4.0,No,Yes,Yes,12.0,3.0,Active,1.0,74.0,Yes,No
56,German_Shepherd,Large,Female,4.0,26.0,Neutered,Low,Home_cooked,Special,6.0,No,Yes,No,10.0,1.0,,3.0,67.0,Yes,
57,Labrador_Retriever,Large,Female,8.0,60.0,Spayed,,Wet_food,Iams,3.0,No,Yes,No,11.0,2.0,,1.0,43.0,Yes,Yes
58,German_Shepherd,Large,Female,2.0,77.0,Spayed,Moderate,Hard_food,Iams,2.0,No,No,,11.0,1.0,,4.0,45.0,Yes,Yes
59,Labrador_Retriever,Large,Female,6.0,62.0,Spayed,Low,Hard_food,Wellness,2.0,No,No,No,10.0,1.0,Moderate,2.0,64.0,Yes,Yes
60,Poodle,Small,Male,7.0,66.0,Neutered,,Wet_food,Hills_Science,2.0,Yes,No,No,10.0,,,3.0,50.0,Yes,Yes
61,Doberman,Large,Male,8.0,42.0,Neutered,Low,Special_diet,Purina,3.0,Yes,No,No,12.0,2.0,Moderate,3.0,64.0,Yes,Yes
62,Bulldog,Medium,Male,12.0,62.0,Neutered,Moderate,Wet_food,Iams,0.0,Yes,No,Yes,9.0,1.0,Very_Active,1.0,68.0,Yes,No
63,Golden_Retriever,Large,Male,1.0,75.0,Spayed,Active,Wet_food,Blue_Buffalo,2.0,No,Yes,No,12.0,0.0,,0.0,44.0,Yes,No
64,Labrador_Retriever,Large,Female,4.0,40.0,Neutered,Very_Active,Hard_food,Purina,3.0,No,No,No,13.0,0.0,Active,2.0,57.0,,Yes
65,Australian_Shepherd,,Male,8.0,63.0,,,Hard_food,Blue_Buffalo,3.0,Yes,No,No,10.0,3.0,Very_Active,0.0,54.0,Yes,No
66,Beagle,Small,Female,13.0,41.0,,Active,Wet_food,Purina,4.0,No,No,No,12.0,1.0,Active,0.0,69.0,Yes,No
67,Yorkshire_Terrier,Small,Male,11.0,63.0,Spayed,Low,,Iams,3.0,No,No,No,12.0,1.0,,0.0,55.0,Yes,Yes
68,Boxer,Medium,Male,5.0,38.0,Neutered,Active,Hard_food,Royal_Canin,2.0,Yes,No,No,12.0,3.0,Active,3.0,35.0,Yes,Yes
69,Labrador_Retriever,Large,Male,10.0,52.0,,Low,Home_cooked,Special,2.0,No,Yes,Yes,10.0,2.0,Low,3.0,50.0,Yes,No
70,Golden_Retriever,Large,Female,5.0,71.0,Spayed,Moderate,Home_cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,1.0,,Yes,Yes
71,Beagle,Small,Male,9.0,30.0,Neutered,Moderate,Hard_food,Purina,2.0,Yes,Yes,,11.0,0.0,Active,4.0,59.0,Yes,No
72,Golden_Retriever,Large,Male,1.0,35.0,,,Hard_food,Royal_Canin,6.0,Yes,Yes,No,14.0,1.0,Active,1.0,64.0,Yes,No
73,Boxer,Medium,,10.0,41.0,,Very_Active,Special_diet,Royal_Canin,5.0,Yes,Yes,No,11.0,3.0,Active,2.0,78.0,Yes,Yes
74,Doberman,Large,Female,9.0,51.0,,Moderate,Special_diet,Blue_Buffalo,2.0,No,Yes,No,9.0,2.0,Active,1.0,75.0,Yes,No
75,Dachshund,Small,Female,13.0,62.0,Neutered,Low,,Wellness,4.0,Yes,Yes,No,12.0,2.0,,0.0,68.0,Yes,No
76,Dachshund,Small,Female,10.0,55.0,Spayed,Moderate,Home_cooked,Special,1.0,Yes,Yes,No,12.0,2.0,,4.0,53.0,Yes,Yes
77,Golden_Retriever,Large,Female,9.0,,Neutered,,Home_cooked,Special,2.0,,No,No,11.0,1.0,,1.0,79.0,Yes,Yes
78,Australian_Shepherd,Medium,Female,13.0,84.0,Spayed,Low,Home_cooked,Special,2.0,No,Yes,No,13.0,1.0,Very_Active,0.0,78.0,Yes,No
79,Yorkshire_Terrier,,Female,13.0,14.0,Neutered,,Special_diet,Wellness,2.0,Yes,Yes,No,12.0,1.0,Moderate,3.0,,Yes,No
80,Beagle,Small,Female,6.0,56.0,Spayed,Moderate,Wet_food,,,No,No,No,12.0,2.0,,0.0,86.0,Yes,Yes
81,Yorkshire_Terrier,Small,,2.0,29.0,Spayed,,Hard_food,Nutro,1.0,No,Yes,No,10.0,3.0,Very_Active,3.0,66.0,Yes,Yes
82,Bulldog,Medium,Male,11.0,34.0,Spayed,Moderate,Home_cooked,Special,2.0,,No,Yes,9.0,3.0,Low,3.0,66.0,Yes,Yes
83,Boxer,Medium,Male,9.0,57.0,,Very_Active,Home_cooked,Special,3.0,No,Yes,No,12.0,1.0,Moderate,1.0,53.0,Yes,Yes
84,Rottweiler,Large,Male,11.0,71.0,Neutered,Very_Active,Special_diet,Iams,5.0,Yes,No,No,14.0,1.0,Moderate,1.0,75.0,Yes,Yes
85,Yorkshire_Terrier,Small,Male,12.0,73.0,Neutered,Very_Active,Home_cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,0.0,84.0,Yes,Yes
86,Great_Dane,,Female,,57.0,Spayed,Low,Special_diet,Nutro,3.0,Yes,Yes,Yes,10.0,3.0,,1.0,42.0,Yes,No
87,Dachshund,,Male,7.0,91.0,Spayed,Very_Active,Home_cooked,Special,2.0,Yes,Yes,No,11.0,0.0,Very_Active,1.0,53.0,Yes,Yes
88,Poodle,Small,Male,1.0,30.0,,Active,Wet_food,Blue_Buffalo,3.0,Yes,No,No,11.0,2.0,Moderate,2.0,78.0,Yes,Yes
89,Dachshund,Small,Male,9.0,22.0,Neutered,,Home_cooked,Special,3.0,Yes,Yes,No,9.0,1.0,Low,1.0,98.0,Yes,No
90,Chihuahua,Small,Male,2.0,49.0,,Very_Active,Home_cooked,Special,1.0,Yes,No,No,13.0,1.0,Low,1.0,38.0,Yes,
91,Australian_Shepherd,Medium,Female,12.0,43.0,,Very_Active,Special_diet,Royal_Canin,2.0,No,Yes,No,10.0,2.0,Active,1.0,92.0,Yes,Yes
92,Poodle,Small,Male,1.0,48.0,Spayed,Low,Wet_food,Hills_Science,5.0,Yes,No,No,12.0,0.0,Active,0.0,66.0,Yes,No
93,Siberian_Husky,Medium,Female,4.0,54.0,Neutered,Low,Home_cooked,Special,2.0,Yes,Yes,No,10.0,3.0,Low,2.0,87.0,Yes,
94,Golden_Retriever,Large,Male,2.0,43.0,,Low,Wet_food,Pedigree,2.0,Yes,Yes,No,14.0,0.0,Moderate,1.0,58.0,Yes,Yes
95,Australian_Shepherd,Medium,Male,3.0,76.0,Neutered,,Wet_food,Purina,3.0,Yes,No,No,8.0,3.0,Active,2.0,76.0,Yes,Yes
96,Australian_Shepherd,Medium,Female,,53.0,Neutered,Moderate,Special_diet,Wellness,5.0,Yes,No,No,14.0,0.0,Active,3.0,58.0,Yes,Yes
97,Rottweiler,Large,Female,3.0,32.0,Neutered,,Wet_food,Royal_Canin,4.0,No,No,No,10.0,1.0,Very_Active,0.0,77.0,Yes,Yes
98,German_Shepherd,Large,Female,10.0,37.0,Neutered,Very_Active,Wet_food,Hills_Science,3.0,No,No,No,11.0,2.0,Moderate,2.0,79.0,Yes,Yes
99,Australian_Shepherd,Medium,Female,4.0,56.0,Neutered,Active,Special_diet,Iams,3.0,Yes,No,No,9.0,0.0,,1.0,36.0,,Yes
100,Chihuahua,Small,Female,9.0,76.0,Neutered,Low,Special_diet,Purina,0.0,Yes,Yes,No,13.0,3.0,Low,1.0,31.0,Yes,Yes
101,Siberian_Husky,Medium,Male,3.0,33.0,Spayed,,Special_diet,Blue_Buffalo,2.0,Yes,Yes,No,10.0,2.0,Low,1.0,65.0,Yes,Yes
102,Poodle,Small,Male,5.0,33.0,Spayed,Low,Wet_food,Purina,4.0,No,Yes,No,10.0,1.0,,1.0,37.0,Yes,Yes
103,Boxer,Medium,Male,5.0,38.0,,Moderate,Home_cooked,Special,4.0,No,Yes,No,12.0,2.0,,2.0,50.0,Yes,Yes
104,Yorkshire_Terrier,Small,Male,12.0,40.0,,Low,Special_diet,Purina,2.0,Yes,No,No,11.0,4.0,Active,1.0,78.0,Yes,Yes
105,Doberman,Large,Male,10.0,54.0,,Very_Active,Special_diet,,3.0,Yes,Yes,No,,3.0,,1.0,39.0,Yes,Yes
106,Golden_Retriever,Large,Female,2.0,65.0,Neutered,Low,Special_diet,Blue_Buffalo,1.0,No,Yes,Yes,9.0,0.0,Very_Active,0.0,50.0,Yes,No
107,,Medium,Male,7.0,,,Active,Special_diet,Iams,5.0,No,No,No,11.0,2.0,Low,0.0,53.0,Yes,Yes
108,Labrador_Retriever,Large,Male,2.0,57.0,Neutered,Active,Home_cooked,Special,0.0,No,Yes,,10.0,1.0,Low,1.0,70.0,Yes,Yes
109,Bulldog,Medium,Female,8.0,38.0,Neutered,Moderate,Hard_food,Pedigree,2.0,Yes,No,No,9.0,1.0,,2.0,77.0,Yes,Yes
110,Siberian_Husky,Medium,Male,7.0,39.0,Spayed,Very_Active,Special_diet,Purina,3.0,No,Yes,No,12.0,1.0,Very_Active,2.0,60.0,Yes,Yes
111,Chihuahua,Small,Female,8.0,45.0,Neutered,Moderate,Wet_food,Royal_Canin,2.0,,No,No,12.0,2.0,Very_Active,0.0,94.0,Yes,Yes
112,Siberian_Husky,Medium,Male,1.0,61.0,Neutered,Active,Wet_food,Wellness,1.0,No,No,No,12.0,2.0,Moderate,1.0,69.0,Yes,Yes
113,Australian_Shepherd,Medium,Male,5.0,43.0,Neutered,,Special_diet,Purina,5.0,No,Yes,No,12.0,0.0,Active,4.0,82.0,Yes,Yes
114,Yorkshire_Terrier,Small,Female,8.0,92.0,,Moderate,Special_diet,Royal_Canin,2.0,Yes,Yes,No,11.0,3.0,,1.0,55.0,Yes,No
115,Doberman,Large,Female,9.0,,Spayed,,Hard_food,,2.0,Yes,No,No,13.0,0.0,Very_Active,1.0,58.0,Yes,Yes
116,Bulldog,Medium,Female,9.0,25.0,Spayed,Very_Active,Home_cooked,Special,3.0,No,Yes,No,13.0,1.0,Active,2.0,100.0,Yes,Yes
117,Great_Dane,Large,Female,11.0,60.0,Spayed,Active,Home_cooked,Special,1.0,No,No,No,12.0,1.0,Very_Active,2.0,75.0,Yes,Yes
118,Poodle,Small,Male,8.0,66.0,Neutered,Active,Home_cooked,Special,1.0,No,Yes,No,13.0,2.0,,0.0,72.0,Yes,Yes
119,Doberman,Large,Male,12.0,34.0,Neutered,Low,Home_cooked,Special,3.0,No,Yes,No,13.0,2.0,,0.0,51.0,Yes,No
120,German_Shepherd,Large,Male,,56.0,,Low,Hard_food,Royal_Canin,3.0,Yes,,No,9.0,1.0,,0.0,76.0,Yes,No
121,Beagle,Small,Male,6.0,63.0,Spayed,Low,Home_cooked,Special,2.0,Yes,No,Yes,9.0,2.0,Low,1.0,100.0,,Yes
122,Doberman,,Male,7.0,39.0,Neutered,Low,Home_cooked,Special,2.0,No,No,No,10.0,2.0,Moderate,4.0,72.0,Yes,Yes
123,Labrador_Retriever,Large,Female,13.0,10.0,Neutered,,Home_cooked,Special,2.0,Yes,Yes,,10.0,2.0,Low,1.0,88.0,Yes,Yes
124,Yorkshire_Terrier,Small,Female,1.0,41.0,,Very_Active,Special_diet,Hills_Science,3.0,No,Yes,No,11.0,0.0,Low,,66.0,Yes,Yes
125,Beagle,Small,Male,,29.0,Neutered,Moderate,,Blue_Buffalo,2.0,No,No,No,14.0,1.0,Very_Active,0.0,75.0,Yes,Yes
126,Yorkshire_Terrier,Small,Female,10.0,51.0,Spayed,,Special_diet,Royal_Canin,4.0,Yes,Yes,No,13.0,3.0,Low,3.0,66.0,Yes,Yes
127,Golden_Retriever,Large,Male,9.0,60.0,Spayed,Moderate,Special_diet,Nutro,3.0,No,Yes,Yes,10.0,1.0,Low,0.0,44.0,Yes,No
